seq_ID	annotation	annotation_type	SM	EO
Ev-comp124536_c1_seq1		blast	4.9	3.7
Ev-comp124906_c0_seq1		blast	24.3	17.7
Ev-comp1249720_c0_seq1		blast	17.0	7.4
Ev-comp125038_c0_seq1	eve1	blast	0.0	3.7
Ev-comp125224_c0_seq1		blast	0.0	2.9
Ev-comp125650_c0_seq1		blast	0.0	4.1
Ev-comp1256776_c0_seq1		blast	2.4	4.5
Ev-comp1257102_c0_seq1		blast	0.0	1.6
Ev-comp1257166_c0_seq1	dtnbp1b	blast	0.0	2.1
Ev-comp1258341_c0_seq1	wdr66	blast	0.0	3.3
Ev-comp1258909_c0_seq1		blast	0.0	3.3
Ev-comp1261272_c0_seq1	oxtl	blast	0.0	1.6
Ev-comp126146_c0_seq1		blast	7.3	1.2
Ev-comp1261668_c0_seq1		blast	4.9	2.9
Ev-comp1261775_c0_seq1	GIPC3	blast	0.0	8.7
Ev-comp126191_c0_seq2		blast	0.0	2.1
Ev-comp126199_c0_seq1		blast	4.9	7.0
Ev-comp1262111_c0_seq1	tmem54	blast	0.0	2.5
Ev-comp1263769_c0_seq1		blast	0.0	4.1
Ev-comp126433_c0_seq1	BX470254.2	blast	0.0	4.1
Ev-comp1264333_c0_seq1		blast	2.4	5.8
Ev-comp1265179_c0_seq1		blast	0.0	1.2
Ev-comp126601_c0_seq1	FRMPD3	blast	4.9	28.4
Ev-comp1266401_c0_seq1		blast	4.9	1.6
Ev-comp1266474_c0_seq1		blast	0.0	5.8
Ev-comp126702_c0_seq1		blast	14.6	42.9
Ev-comp1267631_c0_seq1		blast	2.4	3.3
Ev-comp1270098_c0_seq1		blast	2.4	2.5
Ev-comp1270308_c0_seq1		blast	0.0	1.6
Ev-comp1270512_c0_seq1		blast	0.0	2.1
Ev-comp1270577_c0_seq1	wdr16	blast	0.0	4.5
Ev-comp1271084_c0_seq1		blast	0.0	2.1
Ev-comp1271350_c0_seq1	cyp2x9	blast	0.0	1.6
Ev-comp127189_c0_seq2	41702	blast	0.0	2.1
Ev-comp1272756_c0_seq1	prom1b	blast	7.3	1.6
Ev-comp1273098_c0_seq1		blast	0.0	2.1
Ev-comp1273874_c0_seq1		blast	14.6	10.3
Ev-comp1273997_c0_seq1		blast	12.1	2.5
Ev-comp127437_c0_seq1		blast	2.4	3.3
Ev-comp127443_c0_seq1	si:ch211-259i2.2	blast	0.0	2.9
Ev-comp1275442_c0_seq1	xk	blast	0.0	2.9
Ev-comp1275849_c0_seq1		blast	0.0	2.9
Ev-comp1275912_c0_seq1		blast	70.4	3.7
Ev-comp1276403_c0_seq1		blast	0.0	1.6
Ev-comp1277881_c0_seq1		blast	0.0	3.7
Ev-comp1277922_c0_seq1		blast	2.4	2.1
Ev-comp1278054_c0_seq1		blast	0.0	7.0
Ev-comp1278108_c0_seq1		blast	0.0	1.6
Ev-comp128090_c0_seq1		blast	48.5	23.5
Ev-comp1282098_c0_seq1		blast	0.0	2.1
Ev-comp1282901_c0_seq1	kcnq1	blast	2.4	2.5
Ev-comp1283557_c0_seq1	rbp2a	blast	0.0	1.6
Ev-comp1284169_c0_seq1	cnnm1	blast	0.0	3.3
Ev-comp1284360_c0_seq1		blast	14.6	2.9
Ev-comp128604_c0_seq1		blast	0.0	2.5
Ev-comp128777_c0_seq1	fhdc1	blast	7.3	33.0
Ev-comp1292080_c0_seq1	crtac1b	blast	0.0	1.2
Ev-comp1292652_c0_seq1		blast	0.0	3.7
Ev-comp1293197_c0_seq1		blast	0.0	2.1
Ev-comp1293991_c0_seq1		blast	12.1	3.3
Ev-comp1294548_c0_seq1		blast	0.0	1.2
Ev-comp129606_c0_seq1	fzd4	blast	303.3	98.1
Ev-comp1296382_c0_seq1	melk	blast	0.0	2.9
Ev-comp129657_c0_seq1		blast	118.9	73.4
Ev-comp1296766_c0_seq1	VWA7	blast	0.0	2.5
Ev-comp1296805_c0_seq1	nat8l	blast	4.9	7.8
Ev-comp1297287_c0_seq1	DBC1	blast	2.4	4.1
Ev-comp1297967_c0_seq1	CLSPN (2 of 2)	blast	2.4	2.5
Ev-comp1299985_c0_seq1		blast	46.1	18.5
Ev-comp1302533_c0_seq1		blast	0.0	2.1
Ev-comp130266_c0_seq1		blast	0.0	3.3
Ev-comp1302765_c0_seq1		blast	2.4	7.4
Ev-comp1302788_c0_seq1		blast	7.3	2.1
Ev-comp1303953_c0_seq1		blast	0.0	2.9
Ev-comp1304064_c0_seq1		blast	4.9	2.1
Ev-comp1305424_c0_seq1		blast	2.4	1.2
Ev-comp130600_c0_seq1		blast	4.9	19.4
Ev-comp130611_c0_seq1		blast	0.0	1.2
Ev-comp130719_c0_seq1	arhgap39	blast	0.0	5.4
Ev-comp1307369_c0_seq1	BFSP1	blast	0.0	2.1
Ev-comp130803_c0_seq1		blast	2.4	4.9
Ev-comp13084_c0_seq1		blast	7.3	1.6
Ev-comp1309153_c0_seq1		blast	4.9	2.1
Ev-comp130967_c0_seq2		blast	0.0	7.4
Ev-comp1311062_c0_seq1	RASAL1 (2 of 2)	blast	7.3	0.4
Ev-comp1311942_c0_seq1	IGFALS	blast	0.0	3.7
Ev-comp131648_c0_seq1	UNC80	blast	2.4	3.7
Ev-comp131656_c0_seq1		blast	0.0	21.4
Ev-comp131668_c0_seq1	batf	blast	2.4	4.1
Ev-comp1318051_c0_seq1		blast	2.4	2.9
