group_ID	annotation	annotation_type	EO	SM
comp24550_c0	TP53I3	blast	11.73	13.13
comp24554_c0		blast	16.0	11.25
comp24565_c0	il7r	blast	29.33	45.0
comp24576_c0	kctd1	blast	12.27	35.63
comp24578_c0		blast	17.07	28.13
comp24580_c0		blast	8.53	13.13
comp24591_c0		blast	13.33	0.0
comp24656_c0		blast	14.4	3.75
comp24658_c0		blast	13.87	5.63
comp24663_c0		blast	12.27	5.63
comp24679_c0	nek8	blast	23.46	18.75
comp24680_c0	snx10b	blast	9.6	15.0
comp246959_c0		blast	5.87	24.38
comp24727_c0	rmnd1	blast	94.39	161.26
comp24729_c0	aldoca	blast	35.73	1.88
comp24731_c0		blast	24.53	7.5
comp24739_c0	JAKMIP1	blast	141.32	7.5
comp24743_c1	atad3b	blast	154.66	191.26
comp24744_c0	gyg2	blast	0.0	744.43
comp247458_c0		blast	2.13	48.75
comp24746_c0	BUD13	blast	72.53	41.25
comp24764_c0	tmem41b	blast	29.86	56.25
comp24772_c0	TADA1	blast	69.86	56.25
comp24773_c0	MTHFS	blast	52.8	151.89
comp24775_c0	cks1b	blast	43.2	39.38
comp24776_c0	si:ch211-120k19.1	blast	24.53	63.75
comp24779_c0		blast	37.33	155.64
comp24780_c0		blast	19.73	1.88
comp24781_c0		blast	37.33	9.38
comp24782_c0		blast	53.86	52.5
comp24784_c0		blast	17.07	18.75
comp24785_c0		blast	10.67	13.13
comp24790_c0		blast	11.2	5.63
comp24795_c0	zgc:86896	blast	100.26	9.38
comp24802_c0	slc35b2	blast	49.6	31.88
comp24818_c0		blast	75.73	101.26
comp24820_c0	ift57	blast	144.52	170.64
comp24821_c0		blast	56.0	46.88
comp24830_c0	bag6l	blast	148.26	133.13
comp24833_c0		blast	37.86	18.75
comp24835_c0	kcnj11	blast	12.27	1140.08
comp24836_c0	ehd1a	blast	225.58	219.39
comp24841_c0	HSCB	blast	51.73	50.63
comp24842_c0	glb1l	blast	134.92	176.26
comp24846_c0		blast	43.2	65.63
comp24849_c0		blast	72.53	95.63
comp24851_c0		blast	33.6	0.0
comp24851_c1		blast	79.46	58.13
comp24851_c2	txndc5	blast	198.39	245.64
comp24856_c0	lmbr1	blast	46.93	76.88
comp24862_c0	sdpra	blast	257.58	3.75
comp24868_c0	ccdc51	blast	76.26	99.38
comp24869_c0	acbd7	blast	13.87	138.76
comp24883_c0		blast	103.99	90.01
comp24886_c0		blast	162.12	112.51
comp24887_c0	srd5a3	blast	41.6	58.13
comp24892_c0		blast	34.13	20.63
comp24892_c1		blast	12.8	9.38
comp24900_c0		blast	44.26	13.13
comp24904_c0		blast	9.6	7.5
comp24910_c0	znf292a	blast	214.38	151.89
comp24915_c0	sdr16c5b	blast	61.86	71.26
comp24920_c0		blast	27.2	35.63
comp24925_c0	lin7c	blast	20.27	30.0
comp24930_c0		blast	17.6	0.0
comp24931_c0		blast	55.46	18.75
comp24940_c0	trub2	blast	113.59	84.38
